Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,null,null,null,null,null,null
2013-01-31,2.977920,3.051000,2.592560,2.730760,2.606610,482788040
2013-02-28,2.677600,3.096180,2.595210,2.757330,2.631972,476923618
2013-03-31,2.757330,3.274250,2.611160,3.017780,2.880581,540316798
2013-04-30,3.017780,4.106100,2.924770,4.069560,3.884543,652277274
2013-05-31,3.986500,4.302100,3.395170,3.567920,3.405709,586292372
2013-06-30,3.604460,4.232340,3.408460,3.979860,3.798921,404496193
2013-07-31,4.019720,4.338650,3.734030,3.793820,3.621339,303510204
2013-08-31,3.820400,4.192470,3.747310,3.913420,3.735502,320198374
2013-09-30,4.086170,4.315390,3.650970,3.846980,3.672082,584542294
2013-10-31,3.820400,4.006440,3.697480,3.880200,3.703792,378301501
2013-11-30,3.866910,3.959930,3.435040,3.949960,3.770380,313051086
2013-12-31,3.949960,5.155880,3.949960,4.913370,4.689991,920295010
2014-01-31,4.920010,5.175810,4.657570,5.039610,4.810491,384212291
2014-02-28,4.936620,5.644230,4.916690,5.614330,5.359082,468109335
2014-03-31,5.640900,6.032910,5.517990,5.767140,5.504944,471688399
2014-04-30,5.767140,5.949860,4.644280,5.092760,4.861224,599610776
2014-05-31,5.119340,5.315340,4.750580,4.790450,4.572659,289015652
2014-06-30,4.817030,5.308690,4.727330,4.813700,4.594851,466194341
2014-07-31,4.790450,5.116010,4.159250,4.943260,4.718522,444354817
2014-08-31,4.976490,5.488090,4.856890,5.076150,4.845369,486972100
2014-09-30,5.066180,5.996370,4.365220,5.916640,5.647648,765929544
2014-10-31,5.966470,6.810280,5.750530,6.664110,6.361135,459782874
2014-11-30,6.657460,9.775000,5.979760,9.600000,9.163549,875464775
2014-12-31,6.378410,8.032810,6.165790,7.773680,7.420260,553013208
2015-01-31,7.806900,9.268620,7.720530,9.162310,8.745757,454627161
2015-02-28,9.242040,10.823400,9.009500,10.065900,9.608268,638570509
2015-03-31,10.026100,10.531000,8.737090,8.869970,8.466708,493710588
2015-04-30,8.869970,9.926390,8.311860,9.667270,9.227759,474230425
2015-05-31,9.773580,9.826730,8.604200,8.730440,8.333522,394120411
2015-06-30,8.697220,9.600830,8.119180,9.501170,9.069212,506930100
2015-07-31,9.560970,12.920000,7.780330,12.870000,12.284882,576774861
2015-08-31,8.212200,8.889900,6.923230,7.713890,7.363188,556592999
2015-09-30,7.953080,9.760290,7.820190,8.916480,8.511105,741072147
2015-10-31,8.823460,9.102520,8.165690,8.982920,8.574523,325967348
2015-11-30,9.062650,9.089230,7.760390,8.584270,8.193996,321031485
2015-12-31,8.584270,8.858130,6.074720,6.378450,6.088462,519947560
2016-01-31,6.413310,6.527830,5.048990,6.318700,6.038463,499998731
2016-02-29,6.303760,7.264760,6.273890,7.070570,6.756987,438158245
2016-03-31,6.931150,7.404180,6.039860,6.980950,6.671341,410645235
2016-04-30,7.070570,7.205010,5.915380,6.388410,6.105081,398644312
2016-05-31,6.413310,6.582600,5.248160,5.472220,5.229525,398790287
2016-06-30,5.512060,6.552730,4.869730,5.736130,5.481730,442858216
2016-07-31,5.795880,6.273890,5.278030,6.169320,5.895708,314048813
2016-08-31,6.194220,6.263930,5.278030,5.626580,5.377039,327742105
2016-09-30,5.676370,6.771820,5.556870,6.642350,6.347759,361891335
2016-10-31,6.662270,7.409160,5.875550,7.259780,6.937806,492319677
2016-11-30,7.180120,8.753570,7.020780,8.629090,8.246387,404800474
2016-12-31,8.634070,10.655700,8.295470,10.058100,9.612019,661225807
2017-01-31,10.177600,11.123700,9.395890,10.287200,9.830958,319224151
2017-02-28,10.277200,10.785100,9.475560,10.207500,9.754793,327854271
2017-03-31,10.167700,10.655700,8.878050,10.346900,9.888010,330124316
2017-04-30,10.346900,10.476400,8.942780,9.306270,8.893533,371404125
2017-05-31,9.341120,10.018300,9.171830,9.191740,8.784082,306497375
2017-06-30,9.315000,10.540000,9.300000,10.200000,9.747625,220513171
2017-07-31,10.200000,12.920000,9.775000,12.650000,12.088966,419178391
2017-08-31,12.770000,15.250000,12.750000,15.160000,14.487647,368590836
2017-09-30,15.220000,15.340000,13.950000,14.840000,14.181840,276781654
2017-10-31,14.940000,15.820000,14.330000,14.420000,13.780467,226857563
2017-11-30,14.450000,15.580000,13.730000,14.910000,14.248734,153990280
2017-12-31,14.910000,20.200001,14.310000,15.550000,14.860351,442460322
2018-01-31,19.620001,19.672001,16.910000,17.572001,16.792675,272887886
2018-02-28,17.450001,17.700001,15.580000,16.502001,15.770130,235902262
2018-03-31,16.502001,19.900000,16.254000,18.570000,17.746412,268012508
2018-04-30,18.570000,19.549999,17.510000,19.400000,18.539600,230771471
2018-05-31,19.851999,20.145000,15.610000,16.334000,15.609579,246484274
2018-06-30,16.062000,17.450001,13.850000,14.598000,13.950572,250768370
2018-07-31,14.616000,15.328000,13.400000,14.560000,13.914258,194441262
2018-08-31,14.690000,15.784000,13.950000,15.144000,14.472357,159043719
2018-09-30,15.258000,15.820000,13.024000,13.450000,12.853486,255369141
2018-10-31,13.380000,14.984000,13.270000,14.572000,13.925725,177983632
2018-11-30,14.966000,15.246000,12.360000,12.682000,12.119548,159868779
2018-12-31,12.682000,14.956000,12.144000,14.918000,14.256380,162528758
2019-01-31,15.000000,15.312000,12.572000,12.982000,12.406243,219903599
2019-02-28,13.070000,13.668000,12.460000,13.272000,12.683381,247034627
2019-03-31,13.382000,14.890000,13.332000,13.734000,13.124891,212430808
2019-04-30,13.734000,14.330000,12.980000,13.084000,13.084000,76348965
